Circuit,Solver,Wire_ID,Time_Sec,Status,Method
c1908.aag,glucose4,373,0.000001,SAT,SIMULATION
c1908.aag,glucose4,440,0.000001,SAT,SIMULATION
c1908.aag,glucose4,332,0.000001,SAT,SIMULATION
c1908.aag,glucose4,393,0.000001,SAT,SIMULATION
c1908.aag,glucose4,414,0.000001,SAT,SIMULATION
c1908.aag,glucose4,338,0.000001,SAT,SIMULATION
c432.aag,glucose4,162,0.000001,SAT,SIMULATION
c432.aag,glucose4,163,0.000001,SAT,SIMULATION
c432.aag,glucose4,164,0.000001,SAT,SIMULATION
c432.aag,glucose4,165,0.000001,SAT,SIMULATION
c432.aag,glucose4,156,0.000001,SAT,SIMULATION
c432.aag,glucose4,166,0.000001,SAT,SIMULATION
c432.aag,glucose4,167,0.000001,SAT,SIMULATION
c1355.aag,glucose4,550,0.000001,SAT,SIMULATION
c1355.aag,glucose4,551,0.000001,SAT,SIMULATION
c1355.aag,glucose4,552,0.000001,SAT,SIMULATION
c1355.aag,glucose4,553,0.000001,SAT,SIMULATION
c1355.aag,glucose4,554,0.000001,SAT,SIMULATION
c1355.aag,glucose4,555,0.000001,SAT,SIMULATION
c1355.aag,glucose4,556,0.000001,SAT,SIMULATION
c1355.aag,glucose4,557,0.000001,SAT,SIMULATION
c1355.aag,glucose4,558,0.000001,SAT,SIMULATION
c1355.aag,glucose4,559,0.000001,SAT,SIMULATION
c1355.aag,glucose4,560,0.000001,SAT,SIMULATION
c1355.aag,glucose4,561,0.000001,SAT,SIMULATION
c1355.aag,glucose4,562,0.000001,SAT,SIMULATION
c1355.aag,glucose4,563,0.000001,SAT,SIMULATION
c1355.aag,glucose4,564,0.000001,SAT,SIMULATION
c1355.aag,glucose4,565,0.000001,SAT,SIMULATION
c1355.aag,glucose4,566,0.000001,SAT,SIMULATION
c1355.aag,glucose4,567,0.000001,SAT,SIMULATION
c1355.aag,glucose4,568,0.000001,SAT,SIMULATION
c1355.aag,glucose4,569,0.000001,SAT,SIMULATION
c1355.aag,glucose4,570,0.000001,SAT,SIMULATION
c1355.aag,glucose4,571,0.000001,SAT,SIMULATION
c1355.aag,glucose4,572,0.000001,SAT,SIMULATION
c1355.aag,glucose4,573,0.000001,SAT,SIMULATION
c1355.aag,glucose4,574,0.000001,SAT,SIMULATION
c1355.aag,glucose4,575,0.000001,SAT,SIMULATION
c1355.aag,glucose4,576,0.000001,SAT,SIMULATION
c1355.aag,glucose4,577,0.000001,SAT,SIMULATION
c1355.aag,glucose4,578,0.000001,SAT,SIMULATION
c1355.aag,glucose4,579,0.000001,SAT,SIMULATION
c1355.aag,glucose4,580,0.000001,SAT,SIMULATION
c1355.aag,glucose4,581,0.000001,SAT,SIMULATION
c880.aag,glucose4,346,0.000001,SAT,SIMULATION
c880.aag,glucose4,386,0.000001,SAT,SIMULATION
c880.aag,glucose4,350,0.000001,SAT,SIMULATION
c880.aag,glucose4,267,0.000007,UNSAT (REDUNDANT),PYSAT
c880.aag,glucose4,262,0.000001,SAT,SIMULATION
c880.aag,glucose4,368,0.000002,UNSAT (REDUNDANT),PYSAT
c880.aag,glucose4,196,0.000001,SAT,SIMULATION
c880.aag,glucose4,387,0.000001,SAT,SIMULATION
c880.aag,glucose4,388,0.000001,SAT,SIMULATION
c880.aag,glucose4,349,0.000001,SAT,SIMULATION
c880.aag,glucose4,389,0.000001,SAT,SIMULATION
c880.aag,glucose4,390,0.000001,SAT,SIMULATION
c880.aag,glucose4,391,0.000001,SAT,SIMULATION
c880.aag,glucose4,365,0.000001,SAT,SIMULATION
c880.aag,glucose4,22,0.000001,SAT,SIMULATION
c880.aag,glucose4,193,0.000001,SAT,SIMULATION
c880.aag,glucose4,392,0.000001,SAT,SIMULATION
c880.aag,glucose4,393,0.000001,SAT,SIMULATION
c880.aag,glucose4,394,0.000001,SAT,SIMULATION
c880.aag,glucose4,395,0.000001,SAT,SIMULATION
c880.aag,glucose4,396,0.000001,SAT,SIMULATION
c880.aag,glucose4,397,0.000001,SAT,SIMULATION
c880.aag,glucose4,398,0.000001,SAT,SIMULATION
c880.aag,glucose4,399,0.000001,SAT,SIMULATION
c880.aag,glucose4,400,0.000001,SAT,SIMULATION
c880.aag,glucose4,401,0.000001,SAT,SIMULATION
c2670.aag,glucose4,684,0.000001,SAT,SIMULATION
c2670.aag,glucose4,727,0.000001,SAT,SIMULATION
c2670.aag,glucose4,707,0.000001,SAT,SIMULATION
c2670.aag,glucose4,698,0.000001,SAT,SIMULATION
c2670.aag,glucose4,885,0.000001,SAT,SIMULATION
c2670.aag,glucose4,728,0.000001,SAT,SIMULATION
c2670.aag,glucose4,886,0.000001,SAT,SIMULATION
c2670.aag,glucose4,710,0.000001,SAT,SIMULATION
c2670.aag,glucose4,747,0.000001,SAT,SIMULATION
c2670.aag,glucose4,887,0.000001,SAT,SIMULATION
c2670.aag,glucose4,731,0.000001,SAT,SIMULATION
c2670.aag,glucose4,698,0.000001,SAT,SIMULATION
c2670.aag,glucose4,888,0.000001,SAT,SIMULATION
c2670.aag,glucose4,889,0.000001,SAT,SIMULATION
c2670.aag,glucose4,734,0.000001,SAT,SIMULATION
c2670.aag,glucose4,691,0.000001,SAT,SIMULATION
c2670.aag,glucose4,743,0.000009,UNSAT (REDUNDANT),PYSAT
